Severity,Category,Issue,URL,File,Line,Recommendation,Impact,Difficulty,Status
MEDIUM,Performance,"Very large homepage DOM (18+ full sections) — INP/memory risk on low-end mobile",https://www.creativemetalind.com/,src/routes/index.tsx,N/A,"Consider deferring/lazy-mounting below-the-fold sections (news, mega link list).",Medium,Medium,Open
LOW,On-Page SEO,"Visible mojibake: <div class=""badge-icon"">U+FFFD</div> in Hero",https://www.creativemetalind.com/,src/routes/index.tsx,~470,"Replace the broken replacement character with the intended emoji/icon or remove.",Low (cosmetic on key page),Low,Open
LOW,Security,"admin/reviews.tsx comment documents default token value 'cmi-admin-2026'",/admin/reviews,src/routes/admin/reviews.tsx,3,"Remove the default-token value from the comment; keep ADMIN_TOKEN env-only.",Low (info leak smell),Low,Open
LOW,On-Page SEO,"Legacy 'keywords' meta tag present on some pages (ignored by Google)",Some landing pages,src/routes/ss-pipe-supplier-vadodara.tsx,~205,"Remove keywords meta for tidiness (optional).",Very low,Low,Open
LOW,Structured Data,"Duplicate og:site_name / og:image declared in both app.tsx and page routes",Multiple,src/app.tsx; src/routes/index.tsx,N/A,"Rely on site-wide values; remove page-level duplicates that repeat identical content.",Low,Low,Open
LOW,International SEO,"No hreflang despite India + 50 export countries (en only)",Sitewide,src/app.tsx,N/A,"Optional: add en-IN/en hreflang alternates if expanding international targeting.",Low,Medium,Open
LOW,Images,"Product-card alt text generic ('SS Seamless Pipe 1')",Sitewide,src/routes/index.tsx,~640,"Make alt text descriptive (grade + product + context).",Low,Low,Open
LOW,UX/Accessibility,"Dense pill links (0.78rem) close together — small tap targets on mobile",Sitewide,src/components/RelatedPages.tsx; AllPagesLinks.tsx,N/A,"Increase tap target size/spacing on mobile.",Low,Low,Open
LOW,Content/UX,"Reviews auto-approved but message says 'appear after moderation' — misleading",/reviews and product modals,src/routes/api/reviews.ts,~215,"Align UX copy with actual behaviour (auto-publish) or add real moderation.",Low,Low,Open
LOW,Housekeeping,".vercel/ and .venv/ appear committed to repo",Repo,.gitignore,N/A,"Ensure build artefacts and virtualenvs are gitignored.",Very low,Low,Open
